q,q_sd,c,c_sd,symptomatic_fraction,symptomatic_fraction_sd,socialDistancing_other,socialDistancing_other_sd,p_reduced,p_reduced_sd,Initial_Condition_Scale,Initial_Condition_Scale_sd,R0,R0_sd,chain,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,
0.034449697,0.001113351,0.546950707,0.282488997,0.481560073,0.034048966,0.123310292,0.069902096,0.276367802,0.178284816,0.128877244,0.141727384,2.04577738,1.47E-13,1,2189202.94,1873101.64,3718761.67,334213.612,1281899.28,3107.79905,860.20446,1827.65226,260.770643,229.16208,723.610313,199.811272,425.586721,60.9593712,53.0572305,4446.64746,1229.34732,2611.09306,373.658368,328.503278,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437195.005
0.034386288,0.001052242,0.509897908,0.299268661,0.485806683,0.040455208,0.099020737,0.070108958,0.323240456,0.179566081,0.124926752,0.137270259,2.06486423,1.83E-13,2,2189231.91,1873109.65,3718778.69,334216.045,1281901.41,3096.92335,857.194185,1821.25641,259.85808,228.360131,721.078048,199.112035,424.097385,60.7460446,52.8715573,4431.08647,1225.04523,2601.95558,372.350755,327.353685,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437194.994
0.034434793,0.001065809,0.467120655,0.276269632,0.478778633,0.033632373,0.108468796,0.075430937,0.325343757,0.174990368,0.133246557,0.126646507,2.09450792,2.18E-14,3,2189170.9,1873092.78,3718742.84,334210.92,1281896.91,3119.82777,863.533876,1834.72618,261.779955,230.049051,726.411043,200.584641,427.233952,61.1953141,53.2625882,4463.85819,1234.1055,2621.19929,375.10461,329.774748,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437194.997
0.034379614,0.001076762,0.469077326,0.276198849,0.477633006,0.033614862,0.107924342,0.072887656,0.337773973,0.189505948,0.139130028,0.131999998,2.08663087,7.86E-14,4,2189127.76,1873080.84,3718717.49,334207.296,1281893.73,3136.02497,868.017081,1844.25151,263.139036,231.243396,730.182348,201.626015,429.45202,61.5130215,53.5391113,4487.03318,1240.5126,2634.80775,377.052039,331.486838,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437194.997
0.034404046,0.001029874,0.493438554,0.282724,0.477074659,0.033893931,0.105077794,0.077252545,0.333672443,0.174493176,0.138434514,0.124676219,1.93740563,2.04E-14,5,2189132.86,1873082.25,3718720.49,334207.724,1281894.11,3134.11022,867.4871,1843.12548,262.978373,231.102206,729.736524,201.502909,429.189812,61.4754638,53.5064222,4484.29355,1239.75519,2633.19903,376.821824,331.284444,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437195.003
0.03455488,0.001040409,0.539942646,0.254730962,0.478909884,0.038698278,0.105686272,0.067983844,0.322924946,0.186087834,0.117397809,0.128171391,2.04507738,1.23E-13,6,2189287.12,1873124.92,3718811.13,334220.683,1281905.49,3076.19617,851.45713,1809.06705,258.118894,226.831755,716.251995,197.779412,421.258974,60.3394817,52.517697,4401.42997,1216.84621,2584.54113,369.858675,325.162762,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437195
0.034305688,0.001315822,0.502827049,0.27811694,0.483595908,0.036800311,0.114415245,0.069852482,0.308684937,0.171215301,0.143811209,0.177198523,2.0647492,1.60E-13,7,2189093.43,1873071.35,3718697.32,334204.412,1281891.2,3148.91226,871.584141,1851.83035,264.220389,232.193675,733.182985,202.454584,431.216826,61.7658053,53.7591268,4505.47235,1245.61041,2645.63533,378.60151,332.849062,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437195.001
0.034480767,0.001011859,0.473528913,0.285413587,0.479160534,0.036627143,0.113330623,0.073743631,0.310870987,0.188793981,0.123895519,0.118174894,2.12035196,1.67E-13,8,2189239.47,1873111.74,3718783.13,334216.68,1281901.97,3094.08436,856.408385,1819.58684,259.619865,228.15079,720.417028,198.929507,423.708611,60.690358,52.8230894,4427.02445,1223.92222,2599.57033,372.009417,327.053596,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437194.989
0.034447087,0.001019086,0.487825629,0.286615368,0.482896157,0.035938532,0.106464722,0.070632175,0.306094986,0.187471768,0.124421179,0.130282853,1.95698476,1.29E-14,9,2189235.62,1873110.67,3718780.87,334216.357,1281901.69,3095.53151,856.808939,1820.43789,259.741292,228.257499,720.753976,199.022549,423.906785,60.7187437,52.8477954,4429.09503,1224.49466,2600.78619,372.18341,327.206563,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437195
0.034467075,0.001091092,0.479301568,0.28327253,0.477934297,0.035274575,0.11369641,0.070919229,0.309281942,0.166769523,0.129792916,0.126526274,2.10157589,3.64E-14,10,2189196.23,1873099.78,3718757.72,334213.048,1281898.78,3110.3199,860.902202,1829.13473,260.982164,229.347962,724.197259,199.973346,425.931929,61.0088174,53.100267,4450.2543,1230.34449,2613.21101,373.961455,328.769738,43,26,54,8,11,1,11,24,3,12,0,7,15,2,7,11383,3159,6717,966,829,9437194.998
