"","rdate","wkdeaths"
"1","2020-01-22",0
"2","2020-01-29",0
"3","2020-02-05",0
"4","2020-02-12",0
"5","2020-02-19",0
"6","2020-02-26",0
"7","2020-03-04",0
"8","2020-03-11",0
"9","2020-03-18",1
"10","2020-03-25",8
"11","2020-04-01",18
"12","2020-04-08",58
"13","2020-04-15",149
"14","2020-04-22",209
"15","2020-04-29",320
"16","2020-05-06",398
"17","2020-05-13",542
"18","2020-05-20",630
"19","2020-05-27",695
"20","2020-06-03",786
"21","2020-06-10",848
"22","2020-06-17",907
"23","2020-06-24",975
"24","2020-07-01",1026
