age,location,% reac,95CI_low,95CI_high
0-18,wash,0.66,0,2.52
19-49,wash,1.32,0.65,2.27
50-64,wash,0.85,0.26,1.94
65+,wash,1.66,0.85,2.74
all,wash,1.13,0.7,1.94
0-18,nyc,2.74,0.9,5.03
19-49,nyc,8.26,6.18,10.17
50-64,nyc,6.52,4.34,9.61
65+,nyc,3.66,2.19,5.19
all,nyc,6.93,5.02,8.92
0-18,sflor,2.41,0,7.79
19-49,sflor,0.87,0.19,2.22
50-64,sflor,1.95,0.32,4
65+,sflor,3.04,1.74,4.45
all,sflor,1.85,1.1,3.23
0-18,miss,1.36,0,4.14
19-49,miss,3.36,1.42,5.53
50-64,miss,1.96,0.51,3.76
65+,miss,3.23,1.92,4.58
all,miss,2.65,1.65,3.86
0-18,utah,,,
19-49,utah,1.82,0.61,3.52
50-64,utah,2.89,0.93,5.21
65+,utah,2.7,0.89,5.04
all,utah,2.18,1.21,3.43
0-18,conn,0.81,0,2.89
19-49,conn,6.08,3.14,9.29
50-64,conn,8.11,4.79,11.64
65+,conn,4.15,2.31,6.04
all,conn,4.84,3.61,6.52
