"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","LogLikelihood","R0","i_chain","loc","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"1","1",0.040701,0.926341,0.35637,0.004754,0.601004,-190610.73651,3.009487,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"2","1",0.042004,0.898782,0.286122,0.025631,0.759906,-188670.563258,2.972603,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"3","1",0.040623,0.947153,0.329896,0.002594,0.746063,-189858.731152,2.95517,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"4","1",0.041347,0.74541,0.308762,0.00168,0.737074,-189276.295448,2.968382,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"5","1",0.041382,0.013774,0.322816,0.003096,0.61037,-189661.114068,2.997154,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"6","1",0.04173,0.008876,0.302303,0.004688,0.657404,-189101.361575,2.983706,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"7","1",0.041351,0.114773,0.312717,0.071641,0.580852,-189383.858908,2.976072,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"8","1",0.040965,0.69477,0.349644,0.201833,0.191076,-190416.795667,3.016582,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"9","1",0.041903,0.428305,0.290534,0.009674,0.68589,-188787.1356,2.973839,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"10","1",0.042328,0.334256,0.264567,0.067087,0.685121,-188111.132591,2.95441,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"11","1",0.041319,0.001357,0.320195,0.004681,0.614542,-189588.874073,2.987711,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"12","1",0.040602,0.966842,0.331331,0.004027,0.749255,-189898.83185,2.95631,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"13","1",0.041408,0.940569,0.314365,0.154677,0.368423,-189428.785413,2.983236,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"14","1",0.04101,0.096761,0.345045,0.005325,0.513689,-190285.359602,3.011362,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
"15","1",0.041317,0.093812,0.334656,0.184565,0.183005,-189991.132564,3.014526,1,"nyc",2195607,1952,453,2784,15,0,0,8097,0,0,0,0,0,1874874,539,125,769,8,6,7,2266,0,0,0,0,0,3722527,1146,266,1633,18,12,15,4820,0,0,0,0,0,334752,164,38,233,3,2,0,0,0,0,0,0,0,1282372,144,33,205,5,4,5,601,0,0,0,0,0,0
