region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,6,10,29.0056,21.6265,7.7247,23.5875,12.6094,11.5437,48.8892,0,0,0,0,0,0,
sflor,6,10,10.174,82.3927,8.54282,6.43694,7.94159,4.00355,92.7072,0,0,0,0,0,0,
wash,6,10,1.0124,1.00336,1.00599,1.00419,1.00518,1.01361,1.014,0,0,0,0,0,0,
nyc,8,10,23.76519,41.27524,7.017198,4.590572,8.320755,55.25398,28.35739,126.0884,827.0027,0,0,0,0,
sflor,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,10,1.301571,1.044196,1.090071,1.068956,1.077933,1.268666,1.276855,1.194104,1.375506,0,0,0,0,
nyc,10,10,49.57755,17.87758,9.186038,65.35103,11.84171,19.84668,11.62752,304.2158,8.908443,14.37752,481.0907,0,0,
sflor,10,10,21.36346,15.43195,33.2213,57.66925,50.78403,6.105325,16.43372,67.76401,47.59172,33.85627,265.9158,0,0,
wash,10,10,3.602802,4.680498,1.750336,1.637518,2.498217,2.976688,2.17787,3.914135,2.086193,3.858309,5.869432,0,0,
nyc,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,10,18.06945,42.24633,52.68912,175.5293,53.40266,84.51369,26.30505,164.8522,66.66203,32.04274,84.47672,135.1208,372.5633,
wash,12,10,2.329492,2.601041,1.382246,1.110877,1.288059,3.631685,1.932412,2.688364,2.990291,2.445287,1.317097,1.187422,6.23933,
