region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,R0,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,10,1.0098,1.0025,1.0075,1.0138,1.0056,1.0167,0,0,0,0,0,0,0,
sflor,5,10,1.0144,1.0238,1.0123,1.0179,1.0609,1.0665,0,0,0,0,0,0,0,
wash,5,10,1.0044,1.0026,1.0047,1.0087,1.0056,1.01,0,0,0,0,0,0,0,
nyc,7,10,1.1378,1.0383,1.036,1.0289,1.1149,1.168,1.0925,1.1821,0,0,0,0,0,
sflor,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,7,10,1.1051,1.0132,1.0236,1.3349,1.0385,1.0127,1.3057,1.4088,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
