q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030341,0.272312,0.356501,0.184616,0.192583,0.007579,0.781354,2.465267,6.457437,9.465989,-7708.443434,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030365,0.272179,0.356409,0.184591,0.192485,0.007578,0.780342,2.464585,6.456864,9.462252,-7707.102533,1.796742,4.000000,
0.030350,0.272079,0.356261,0.185048,0.192374,0.007576,0.781225,2.466068,6.461295,9.456727,-7707.295604,1.796742,4.000000,
0.030350,0.272079,0.356261,0.185048,0.192374,0.007576,0.781225,2.466068,6.461295,9.456727,-7707.295604,1.796742,4.000000,
0.030350,0.272079,0.356261,0.185048,0.192374,0.007576,0.781225,2.466068,6.461295,9.456727,-7707.295604,1.796742,4.000000,
0.030340,0.272593,0.356088,0.184263,0.192876,0.007586,0.781095,2.463682,6.455684,9.474927,-7707.083927,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
0.030307,0.272296,0.355633,0.184928,0.192684,0.007577,0.782642,2.465418,6.463514,9.466893,-7705.835408,1.796742,4.000000,
