q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
0.040536,0.986741,0.318420,0.000036,0.771456,0.066635,-7597.812759,2.419156,2.000000,
