q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
0.030854,0.011957,0.214465,0.088918,0.155877,0.012907,0.765954,0.521530,4.319944,13.992831,-832.912206,1.827804,5.000000,
