q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.032504,0.647128,0.389674,0.117014,0.033857,0.042260,0.571728,5.715479,4.551527,9.597751,-2.379495,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031553,0.640907,0.391871,0.116379,0.034329,0.041520,0.632880,5.820654,4.422172,9.606387,-1.753612,1.928000,1.000000,
0.031755,0.644081,0.391347,0.115673,0.031254,0.044221,0.623197,5.851334,4.530290,9.444821,-1.366934,1.928000,1.000000,
0.031863,0.637940,0.388113,0.115312,0.031170,0.043279,0.602259,5.818404,4.662770,9.438038,-1.016418,1.928000,1.000000,
0.031863,0.637940,0.388113,0.115312,0.031170,0.043279,0.602259,5.818404,4.662770,9.438038,-1.016418,1.928000,1.000000,
0.031863,0.637940,0.388113,0.115312,0.031170,0.043279,0.602259,5.818404,4.662770,9.438038,-1.016418,1.928000,1.000000,
0.031863,0.637940,0.388113,0.115312,0.031170,0.043279,0.602259,5.818404,4.662770,9.438038,-1.016418,1.928000,1.000000,
0.031301,0.619598,0.386858,0.113073,0.030558,0.042142,0.613187,5.796409,4.946187,9.429369,-2.545603,1.928000,1.000000,
0.031301,0.619598,0.386858,0.113073,0.030558,0.042142,0.613187,5.796409,4.946187,9.429369,-2.545603,1.928000,1.000000,
0.031301,0.619598,0.386858,0.113073,0.030558,0.042142,0.613187,5.796409,4.946187,9.429369,-2.545603,1.928000,1.000000,
0.031314,0.602946,0.388483,0.110285,0.030018,0.041787,0.607312,5.773520,4.999774,9.358979,-1.842254,1.928000,1.000000,
0.031314,0.602946,0.388483,0.110285,0.030018,0.041787,0.607312,5.773520,4.999774,9.358979,-1.842254,1.928000,1.000000,
0.031314,0.602946,0.388483,0.110285,0.030018,0.041787,0.607312,5.773520,4.999774,9.358979,-1.842254,1.928000,1.000000,
0.031314,0.602946,0.388483,0.110285,0.030018,0.041787,0.607312,5.773520,4.999774,9.358979,-1.842254,1.928000,1.000000,
0.031314,0.602946,0.388483,0.110285,0.030018,0.041787,0.607312,5.773520,4.999774,9.358979,-1.842254,1.928000,1.000000,
0.031314,0.602946,0.388483,0.110285,0.030018,0.041787,0.607312,5.773520,4.999774,9.358979,-1.842254,1.928000,1.000000,
