q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,LogLikelihood,R0,i_chain,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037360,0.513721,0.447138,0.003238,0.201664,0.005801,0.574523,6.177493,3.396338,7.423893,7.093260,12.036625,6.711124,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.037133,0.512125,0.451830,0.000085,0.169730,0.002575,0.571954,6.129547,3.424645,7.542503,7.631228,11.993291,7.586593,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
0.036986,0.503659,0.451936,0.003216,0.193243,0.003576,0.554612,5.971659,3.480460,7.520715,7.213964,11.971624,7.396482,2.224222,5.000000,
