q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.025919,0.841784,0.377043,0.435085,0.267947,0.029503,-12.593935,1.529702,7.000000,
0.025919,0.841784,0.377043,0.435085,0.267947,0.029503,-12.593935,1.529702,7.000000,
0.025919,0.841784,0.377043,0.435085,0.267947,0.029503,-12.593935,1.529702,7.000000,
0.025903,0.799862,0.378546,0.436683,0.253229,0.026623,-12.248994,1.529702,7.000000,
0.025270,0.645762,0.382180,0.427298,0.392709,0.100658,-12.196480,1.529702,7.000000,
0.025270,0.645762,0.382180,0.427298,0.392709,0.100658,-12.196480,1.529702,7.000000,
0.024912,0.640524,0.396990,0.283886,0.654128,0.140431,-12.893378,1.529702,7.000000,
0.024999,0.659001,0.392819,0.306131,0.616882,0.132165,-12.400828,1.529702,7.000000,
0.024999,0.659001,0.392819,0.306131,0.616882,0.132165,-12.400828,1.529702,7.000000,
0.025662,0.566521,0.400537,0.287962,0.535884,0.012414,-12.411731,1.529702,7.000000,
0.025657,0.553403,0.399055,0.278777,0.556447,0.016132,-12.443982,1.529702,7.000000,
0.025665,0.881121,0.381572,0.123961,0.940287,0.054871,-10.441650,1.529702,7.000000,
0.025676,0.845449,0.382524,0.141274,0.896579,0.051662,-10.289479,1.529702,7.000000,
0.025632,0.794483,0.381572,0.148974,0.888778,0.061486,-10.644775,1.529702,7.000000,
0.025632,0.794483,0.381572,0.148974,0.888778,0.061486,-10.644775,1.529702,7.000000,
0.025730,0.753848,0.383813,0.115653,0.937792,0.044150,-9.941706,1.529702,7.000000,
0.025710,0.747023,0.385686,0.114191,0.930155,0.042577,-10.053997,1.529702,7.000000,
0.025693,0.671577,0.385392,0.084348,0.993946,0.047761,-10.570611,1.529702,7.000000,
0.025693,0.671577,0.385392,0.084348,0.993946,0.047761,-10.570611,1.529702,7.000000,
0.025693,0.671577,0.385392,0.084348,0.993946,0.047761,-10.570611,1.529702,7.000000,
0.025693,0.671577,0.385392,0.084348,0.993946,0.047761,-10.570611,1.529702,7.000000,
0.025757,0.706267,0.384876,0.091473,0.981731,0.041759,-11.125282,1.529702,7.000000,
0.025757,0.706267,0.384876,0.091473,0.981731,0.041759,-11.125282,1.529702,7.000000,
0.025784,0.767411,0.381594,0.123852,0.932284,0.042836,-10.425588,1.529702,7.000000,
0.025784,0.767411,0.381594,0.123852,0.932284,0.042836,-10.425588,1.529702,7.000000,
0.025668,0.764817,0.393106,0.158083,0.806630,0.038958,-13.275872,1.529702,7.000000,
0.025870,0.703913,0.392959,0.077082,0.980362,0.007137,-11.936668,1.529702,7.000000,
0.025888,0.657492,0.392765,0.077541,0.963090,0.007143,-11.424510,1.529702,7.000000,
0.025888,0.657492,0.392765,0.077541,0.963090,0.007143,-11.424510,1.529702,7.000000,
0.025860,0.613222,0.390594,0.091075,0.939533,0.014613,-11.392317,1.529702,7.000000,
0.025860,0.613222,0.390594,0.091075,0.939533,0.014613,-11.392317,1.529702,7.000000,
0.025708,0.608375,0.389953,0.110441,0.915328,0.040385,-11.080592,1.529702,7.000000,
0.025708,0.608375,0.389953,0.110441,0.915328,0.040385,-11.080592,1.529702,7.000000,
0.025604,0.622160,0.398859,0.133665,0.854909,0.037064,-12.221957,1.529702,7.000000,
0.025700,0.595094,0.396599,0.127537,0.850403,0.026540,-11.627114,1.529702,7.000000,
0.025561,0.573837,0.398866,0.133124,0.839631,0.041675,-12.298101,1.529702,7.000000,
0.025504,0.530306,0.400775,0.143933,0.813189,0.046539,-12.785703,1.529702,7.000000,
0.025504,0.530306,0.400775,0.143933,0.813189,0.046539,-12.785703,1.529702,7.000000,
0.025504,0.530306,0.400775,0.143933,0.813189,0.046539,-12.785703,1.529702,7.000000,
0.025454,0.482212,0.402959,0.167548,0.766335,0.049561,-13.353494,1.529702,7.000000,
0.025405,0.462693,0.403407,0.181220,0.739969,0.055257,-13.415127,1.529702,7.000000,
0.025463,0.448372,0.403022,0.138408,0.824186,0.047209,-13.705929,1.529702,7.000000,
0.025463,0.448372,0.403022,0.138408,0.824186,0.047209,-13.705929,1.529702,7.000000,
0.025521,0.414307,0.403811,0.140632,0.803928,0.040942,-14.495855,1.529702,7.000000,
0.025620,0.344163,0.399708,0.067819,0.928369,0.042843,-14.668074,1.529702,7.000000,
0.025599,0.375030,0.378350,0.150922,0.821041,0.084003,-15.139245,1.529702,7.000000,
