q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.033704,0.824587,0.366674,0.056168,0.293197,0.093555,0.517093,6.086695,-2.752121,2.001812,5.000000,
0.033704,0.824587,0.366674,0.056168,0.293197,0.093555,0.517093,6.086695,-2.752121,2.001812,5.000000,
0.034229,0.810022,0.371035,0.056436,0.251723,0.085822,0.508501,6.151109,-2.613168,2.001812,5.000000,
0.034229,0.810022,0.371035,0.056436,0.251723,0.085822,0.508501,6.151109,-2.613168,2.001812,5.000000,
0.033712,0.794884,0.370118,0.038131,0.229084,0.085597,0.547180,6.462678,-3.027144,2.001812,5.000000,
0.034244,0.789820,0.369132,0.034211,0.238272,0.079699,0.529146,6.421002,-3.054717,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.034034,0.767726,0.373123,0.030069,0.199338,0.075434,0.542307,6.560160,-2.144493,2.001812,5.000000,
0.032698,0.725897,0.369896,0.023050,0.182401,0.070074,0.597034,6.734895,-1.987681,2.001812,5.000000,
0.032698,0.725897,0.369896,0.023050,0.182401,0.070074,0.597034,6.734895,-1.987681,2.001812,5.000000,
0.032698,0.725897,0.369896,0.023050,0.182401,0.070074,0.597034,6.734895,-1.987681,2.001812,5.000000,
0.032698,0.725897,0.369896,0.023050,0.182401,0.070074,0.597034,6.734895,-1.987681,2.001812,5.000000,
0.032698,0.725897,0.369896,0.023050,0.182401,0.070074,0.597034,6.734895,-1.987681,2.001812,5.000000,
0.034305,0.771323,0.367415,0.019053,0.179408,0.074478,0.553750,6.814682,-1.775800,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.034051,0.797360,0.365561,0.019122,0.199198,0.079545,0.557929,6.804414,-0.989114,2.001812,5.000000,
0.032941,0.752932,0.369045,0.024013,0.146383,0.060377,0.609011,6.915775,-1.861738,2.001812,5.000000,
0.032941,0.752932,0.369045,0.024013,0.146383,0.060377,0.609011,6.915775,-1.861738,2.001812,5.000000,
0.032941,0.752932,0.369045,0.024013,0.146383,0.060377,0.609011,6.915775,-1.861738,2.001812,5.000000,
0.032941,0.752932,0.369045,0.024013,0.146383,0.060377,0.609011,6.915775,-1.861738,2.001812,5.000000,
0.032941,0.752932,0.369045,0.024013,0.146383,0.060377,0.609011,6.915775,-1.861738,2.001812,5.000000,
0.032941,0.752932,0.369045,0.024013,0.146383,0.060377,0.609011,6.915775,-1.861738,2.001812,5.000000,
0.032536,0.755541,0.366154,0.048180,0.137436,0.069978,0.613689,6.820819,-2.295446,2.001812,5.000000,
0.032536,0.755541,0.366154,0.048180,0.137436,0.069978,0.613689,6.820819,-2.295446,2.001812,5.000000,
0.032536,0.755541,0.366154,0.048180,0.137436,0.069978,0.613689,6.820819,-2.295446,2.001812,5.000000,
0.032536,0.755541,0.366154,0.048180,0.137436,0.069978,0.613689,6.820819,-2.295446,2.001812,5.000000,
0.032536,0.755541,0.366154,0.048180,0.137436,0.069978,0.613689,6.820819,-2.295446,2.001812,5.000000,
0.032536,0.755541,0.366154,0.048180,0.137436,0.069978,0.613689,6.820819,-2.295446,2.001812,5.000000,
0.033860,0.724590,0.366738,0.047766,0.168873,0.074271,0.557398,6.631040,-2.664098,2.001812,5.000000,
0.035002,0.683791,0.369545,0.047613,0.160994,0.080826,0.518094,6.596434,-1.755293,2.001812,5.000000,
0.034519,0.686532,0.370927,0.052464,0.141593,0.074632,0.532820,6.619561,-1.852063,2.001812,5.000000,
0.034915,0.641875,0.371215,0.051527,0.120154,0.086139,0.532299,6.719965,-5.601964,2.001812,5.000000,
0.034915,0.641875,0.371215,0.051527,0.120154,0.086139,0.532299,6.719965,-5.601964,2.001812,5.000000,
0.034915,0.641875,0.371215,0.051527,0.120154,0.086139,0.532299,6.719965,-5.601964,2.001812,5.000000,
0.034915,0.641875,0.371215,0.051527,0.120154,0.086139,0.532299,6.719965,-5.601964,2.001812,5.000000,
0.034915,0.641875,0.371215,0.051527,0.120154,0.086139,0.532299,6.719965,-5.601964,2.001812,5.000000,
0.034915,0.641875,0.371215,0.051527,0.120154,0.086139,0.532299,6.719965,-5.601964,2.001812,5.000000,
0.033803,0.615608,0.370640,0.054648,0.184902,0.097701,0.538555,6.453487,-2.797796,2.001812,5.000000,
0.033803,0.615608,0.370640,0.054648,0.184902,0.097701,0.538555,6.453487,-2.797796,2.001812,5.000000,
0.033803,0.615608,0.370640,0.054648,0.184902,0.097701,0.538555,6.453487,-2.797796,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032316,0.514868,0.370711,0.066104,0.156745,0.101000,0.579211,6.477826,-3.346429,2.001812,5.000000,
0.032853,0.518697,0.367751,0.073439,0.131412,0.103332,0.569268,6.587809,-4.402736,2.001812,5.000000,
0.032853,0.518697,0.367751,0.073439,0.131412,0.103332,0.569268,6.587809,-4.402736,2.001812,5.000000,
0.032853,0.518697,0.367751,0.073439,0.131412,0.103332,0.569268,6.587809,-4.402736,2.001812,5.000000,
0.033639,0.467958,0.367564,0.071174,0.115880,0.111433,0.549164,6.644680,-3.935521,2.001812,5.000000,
0.033639,0.467958,0.367564,0.071174,0.115880,0.111433,0.549164,6.644680,-3.935521,2.001812,5.000000,
0.033639,0.467958,0.367564,0.071174,0.115880,0.111433,0.549164,6.644680,-3.935521,2.001812,5.000000,
0.033401,0.475968,0.367525,0.074528,0.111401,0.114163,0.561089,6.689337,-4.227755,2.001812,5.000000,
0.033401,0.475968,0.367525,0.074528,0.111401,0.114163,0.561089,6.689337,-4.227755,2.001812,5.000000,
0.033401,0.475968,0.367525,0.074528,0.111401,0.114163,0.561089,6.689337,-4.227755,2.001812,5.000000,
0.033401,0.475968,0.367525,0.074528,0.111401,0.114163,0.561089,6.689337,-4.227755,2.001812,5.000000,
0.032787,0.427531,0.368170,0.087599,0.096195,0.117449,0.576532,6.619231,-6.951277,2.001812,5.000000,
0.032295,0.491853,0.365619,0.088750,0.159794,0.108045,0.572434,6.398740,-4.009143,2.001812,5.000000,
0.032295,0.491853,0.365619,0.088750,0.159794,0.108045,0.572434,6.398740,-4.009143,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.031595,0.597150,0.370327,0.084710,0.022175,0.070787,0.654189,6.966733,-4.830884,2.001812,5.000000,
0.030372,0.764003,0.359635,0.166797,0.032028,0.053626,0.653331,6.306873,-3.750577,2.001812,5.000000,
0.030372,0.764003,0.359635,0.166797,0.032028,0.053626,0.653331,6.306873,-3.750577,2.001812,5.000000,
0.030372,0.764003,0.359635,0.166797,0.032028,0.053626,0.653331,6.306873,-3.750577,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.033847,0.903924,0.361943,0.094071,0.124306,0.052285,0.568629,6.717326,-1.254395,2.001812,5.000000,
0.032771,0.888006,0.377055,0.114246,0.115320,0.022424,0.577745,6.359592,-2.856102,2.001812,5.000000,
0.032771,0.888006,0.377055,0.114246,0.115320,0.022424,0.577745,6.359592,-2.856102,2.001812,5.000000,
0.032655,0.884168,0.379948,0.113923,0.079657,0.018987,0.590136,6.463819,-3.930320,2.001812,5.000000,
0.032655,0.884168,0.379948,0.113923,0.079657,0.018987,0.590136,6.463819,-3.930320,2.001812,5.000000,
0.033146,0.894497,0.378458,0.122228,0.073999,0.023587,0.571564,6.440912,-2.599295,2.001812,5.000000,
0.033146,0.894497,0.378458,0.122228,0.073999,0.023587,0.571564,6.440912,-2.599295,2.001812,5.000000,
0.033146,0.894497,0.378458,0.122228,0.073999,0.023587,0.571564,6.440912,-2.599295,2.001812,5.000000,
0.032541,0.929270,0.374356,0.121528,0.094893,0.015958,0.592557,6.419244,-4.379317,2.001812,5.000000,
0.032541,0.929270,0.374356,0.121528,0.094893,0.015958,0.592557,6.419244,-4.379317,2.001812,5.000000,
0.033291,0.966968,0.371168,0.128058,0.093599,0.023162,0.571547,6.421467,-2.081138,2.001812,5.000000,
0.033291,0.966968,0.371168,0.128058,0.093599,0.023162,0.571547,6.421467,-2.081138,2.001812,5.000000,
0.033291,0.966968,0.371168,0.128058,0.093599,0.023162,0.571547,6.421467,-2.081138,2.001812,5.000000,
0.033291,0.966968,0.371168,0.128058,0.093599,0.023162,0.571547,6.421467,-2.081138,2.001812,5.000000,
0.033291,0.966968,0.371168,0.128058,0.093599,0.023162,0.571547,6.421467,-2.081138,2.001812,5.000000,
0.033291,0.966968,0.371168,0.128058,0.093599,0.023162,0.571547,6.421467,-2.081138,2.001812,5.000000,
0.033625,0.931764,0.371722,0.126623,0.101214,0.024703,0.556222,6.357930,-2.715302,2.001812,5.000000,
0.033698,0.960618,0.373662,0.123357,0.094306,0.028071,0.553766,6.424484,-1.858365,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.034082,0.934405,0.377492,0.122783,0.088840,0.034393,0.539032,6.405875,-2.025243,2.001812,5.000000,
0.033779,0.962446,0.375174,0.121712,0.107437,0.032472,0.546962,6.385600,-1.788727,2.001812,5.000000,
0.033779,0.962446,0.375174,0.121712,0.107437,0.032472,0.546962,6.385600,-1.788727,2.001812,5.000000,
0.033779,0.962446,0.375174,0.121712,0.107437,0.032472,0.546962,6.385600,-1.788727,2.001812,5.000000,
0.033779,0.962446,0.375174,0.121712,0.107437,0.032472,0.546962,6.385600,-1.788727,2.001812,5.000000,
0.033784,0.938312,0.374588,0.132602,0.089176,0.029512,0.546607,6.355239,-1.960847,2.001812,5.000000,
0.033784,0.938312,0.374588,0.132602,0.089176,0.029512,0.546607,6.355239,-1.960847,2.001812,5.000000,
0.033784,0.938312,0.374588,0.132602,0.089176,0.029512,0.546607,6.355239,-1.960847,2.001812,5.000000,
0.033784,0.938312,0.374588,0.132602,0.089176,0.029512,0.546607,6.355239,-1.960847,2.001812,5.000000,
0.033784,0.938312,0.374588,0.132602,0.089176,0.029512,0.546607,6.355239,-1.960847,2.001812,5.000000,
0.033705,0.930418,0.373935,0.131263,0.104106,0.035940,0.546569,6.349052,-2.225062,2.001812,5.000000,
0.033705,0.930418,0.373935,0.131263,0.104106,0.035940,0.546569,6.349052,-2.225062,2.001812,5.000000,
0.033705,0.930418,0.373935,0.131263,0.104106,0.035940,0.546569,6.349052,-2.225062,2.001812,5.000000,
0.033705,0.930418,0.373935,0.131263,0.104106,0.035940,0.546569,6.349052,-2.225062,2.001812,5.000000,
0.033705,0.930418,0.373935,0.131263,0.104106,0.035940,0.546569,6.349052,-2.225062,2.001812,5.000000,
