q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
0.042972,0.029673,0.341221,0.081297,0.121057,0.003644,0.619601,4.075686,-7690.762172,2.569259,9.000000,
