q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
0.030793,0.110616,0.202262,0.214051,0.815629,0.024490,0.973140,0.864565,3.028216,11.977114,-486.680415,1.824096,1.000000,
