q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,LogLikelihood,R0,i_chain,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
0.041892,0.111208,0.196547,0.015922,0.487120,0.000450,0.990256,0.979365,1.657502,13.957674,1.498165,0.618130,-999.882312,2.502610,7.000000,
