q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.060685,0.080334,0.395504,0.134529,0.732167,0.007941,0.466875,6.752841,2.205566,3.987414,-13.435208,3.676832,3.000000,
0.060685,0.080334,0.395504,0.134529,0.732167,0.007941,0.466875,6.752841,2.205566,3.987414,-13.435208,3.676832,3.000000,
0.060685,0.080334,0.395504,0.134529,0.732167,0.007941,0.466875,6.752841,2.205566,3.987414,-13.435208,3.676832,3.000000,
0.060685,0.080334,0.395504,0.134529,0.732167,0.007941,0.466875,6.752841,2.205566,3.987414,-13.435208,3.676832,3.000000,
0.060685,0.080334,0.395504,0.134529,0.732167,0.007941,0.466875,6.752841,2.205566,3.987414,-13.435208,3.676832,3.000000,
0.060685,0.080334,0.395504,0.134529,0.732167,0.007941,0.466875,6.752841,2.205566,3.987414,-13.435208,3.676832,3.000000,
0.061141,0.078934,0.397576,0.134389,0.721701,0.008353,0.465213,6.757599,2.167114,3.983396,-13.010873,3.676832,3.000000,
0.061141,0.078934,0.397576,0.134389,0.721701,0.008353,0.465213,6.757599,2.167114,3.983396,-13.010873,3.676832,3.000000,
0.061141,0.078934,0.397576,0.134389,0.721701,0.008353,0.465213,6.757599,2.167114,3.983396,-13.010873,3.676832,3.000000,
0.061141,0.078934,0.397576,0.134389,0.721701,0.008353,0.465213,6.757599,2.167114,3.983396,-13.010873,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.061091,0.081473,0.396680,0.134269,0.716262,0.008153,0.470164,6.805145,2.169558,3.997358,-13.238385,3.676832,3.000000,
0.060635,0.086150,0.394245,0.131996,0.719081,0.008193,0.486668,6.839136,2.130678,4.007507,-14.558615,3.676832,3.000000,
0.060635,0.086150,0.394245,0.131996,0.719081,0.008193,0.486668,6.839136,2.130678,4.007507,-14.558615,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060518,0.087555,0.391419,0.132026,0.721684,0.008089,0.488184,6.826317,2.097039,4.058494,-14.833953,3.676832,3.000000,
0.060383,0.086191,0.391329,0.130623,0.720140,0.008705,0.494215,6.820880,2.074871,4.121408,-13.061022,3.676832,3.000000,
0.060383,0.086191,0.391329,0.130623,0.720140,0.008705,0.494215,6.820880,2.074871,4.121408,-13.061022,3.676832,3.000000,
0.060383,0.086191,0.391329,0.130623,0.720140,0.008705,0.494215,6.820880,2.074871,4.121408,-13.061022,3.676832,3.000000,
