q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,LogLikelihood,R0,i_chain,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.040040,0.215461,0.449177,0.011792,0.467178,0.013203,0.249322,4.230675,4.894985,6.815450,9.754469,13.911990,6.870390,2.388610,7.000000,
0.041266,0.209347,0.455515,0.013105,0.418603,0.013145,0.246382,4.491555,4.431252,6.740361,9.199602,13.950905,6.456701,2.388610,7.000000,
0.040881,0.208655,0.455443,0.009921,0.408576,0.013444,0.233305,4.342444,4.308794,6.999908,9.210773,13.818705,8.018371,2.388610,7.000000,
0.040881,0.208655,0.455443,0.009921,0.408576,0.013444,0.233305,4.342444,4.308794,6.999908,9.210773,13.818705,8.018371,2.388610,7.000000,
0.040877,0.204597,0.454416,0.015228,0.368325,0.013247,0.223640,4.308821,4.356627,7.181513,9.726003,13.744952,7.789305,2.388610,7.000000,
0.040877,0.204597,0.454416,0.015228,0.368325,0.013247,0.223640,4.308821,4.356627,7.181513,9.726003,13.744952,7.789305,2.388610,7.000000,
0.041394,0.187262,0.458518,0.014149,0.291223,0.013469,0.214964,4.413329,3.980096,7.351380,10.524212,13.699792,7.604210,2.388610,7.000000,
0.040563,0.201259,0.456986,0.015099,0.358199,0.013702,0.206023,4.088353,4.114661,7.405761,10.623369,13.502721,7.334960,2.388610,7.000000,
0.040563,0.201259,0.456986,0.015099,0.358199,0.013702,0.206023,4.088353,4.114661,7.405761,10.623369,13.502721,7.334960,2.388610,7.000000,
0.040563,0.201259,0.456986,0.015099,0.358199,0.013702,0.206023,4.088353,4.114661,7.405761,10.623369,13.502721,7.334960,2.388610,7.000000,
0.040563,0.201259,0.456986,0.015099,0.358199,0.013702,0.206023,4.088353,4.114661,7.405761,10.623369,13.502721,7.334960,2.388610,7.000000,
