q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.045278,0.839675,0.364751,0.167871,0.069669,0.322607,0.241574,6.450695,-2.241065,2.711187,2.000000,
0.045278,0.839675,0.364751,0.167871,0.069669,0.322607,0.241574,6.450695,-2.241065,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
0.044956,0.833856,0.367259,0.173038,0.053666,0.327963,0.243075,6.437830,-1.841974,2.711187,2.000000,
