q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.041375,0.983755,0.311988,0.000721,0.756743,0.001676,-7593.921836,2.470777,17.000000,
0.041375,0.983755,0.311988,0.000721,0.756743,0.001676,-7593.921836,2.470777,17.000000,
0.041375,0.983755,0.311988,0.000721,0.756743,0.001676,-7593.921836,2.470777,17.000000,
0.041380,0.967440,0.311602,0.002281,0.754890,0.001641,-7595.198557,2.470777,17.000000,
0.041380,0.967440,0.311602,0.002281,0.754890,0.001641,-7595.198557,2.470777,17.000000,
0.041380,0.967440,0.311602,0.002281,0.754890,0.001641,-7595.198557,2.470777,17.000000,
0.041380,0.967440,0.311602,0.002281,0.754890,0.001641,-7595.198557,2.470777,17.000000,
0.041380,0.967440,0.311602,0.002281,0.754890,0.001641,-7595.198557,2.470777,17.000000,
0.041380,0.967440,0.311602,0.002281,0.754890,0.001641,-7595.198557,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041381,0.961970,0.311490,0.003401,0.753377,0.001259,-7595.738181,2.470777,17.000000,
0.041384,0.991418,0.311236,0.003490,0.755871,0.001069,-7595.228750,2.470777,17.000000,
0.041378,0.980769,0.311885,0.002183,0.756225,0.000515,-7594.453568,2.470777,17.000000,
0.041379,0.988651,0.311714,0.002816,0.754499,0.001047,-7594.661610,2.470777,17.000000,
0.041379,0.988651,0.311714,0.002816,0.754499,0.001047,-7594.661610,2.470777,17.000000,
0.041379,0.988651,0.311714,0.002816,0.754499,0.001047,-7594.661610,2.470777,17.000000,
0.041379,0.988651,0.311714,0.002816,0.754499,0.001047,-7594.661610,2.470777,17.000000,
0.041379,0.988651,0.311714,0.002816,0.754499,0.001047,-7594.661610,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041379,0.980443,0.311748,0.002549,0.754700,0.001081,-7594.723717,2.470777,17.000000,
0.041378,0.988927,0.311811,0.002385,0.755665,0.001033,-7594.484905,2.470777,17.000000,
0.041378,0.988927,0.311811,0.002385,0.755665,0.001033,-7594.484905,2.470777,17.000000,
0.041378,0.988927,0.311811,0.002385,0.755665,0.001033,-7594.484905,2.470777,17.000000,
0.041378,0.988927,0.311811,0.002385,0.755665,0.001033,-7594.484905,2.470777,17.000000,
