q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.048809,0.989159,0.147624,0.078296,0.551282,0.029617,-203.066608,2.930867,18.000000,
0.048709,0.989937,0.149816,0.094755,0.512192,0.034510,-203.592502,2.930867,18.000000,
0.048709,0.989937,0.149816,0.094755,0.512192,0.034510,-203.592502,2.930867,18.000000,
0.048709,0.989937,0.149816,0.094755,0.512192,0.034510,-203.592502,2.930867,18.000000,
0.048709,0.989937,0.149816,0.094755,0.512192,0.034510,-203.592502,2.930867,18.000000,
0.048709,0.989937,0.149816,0.094755,0.512192,0.034510,-203.592502,2.930867,18.000000,
0.048680,0.999827,0.148873,0.091599,0.530003,0.036145,-201.761929,2.930867,18.000000,
0.048680,0.999827,0.148873,0.091599,0.530003,0.036145,-201.761929,2.930867,18.000000,
0.048680,0.999827,0.148873,0.091599,0.530003,0.036145,-201.761929,2.930867,18.000000,
0.048680,0.999827,0.148873,0.091599,0.530003,0.036145,-201.761929,2.930867,18.000000,
0.048762,0.993470,0.146390,0.071125,0.580455,0.032837,-202.022405,2.930867,18.000000,
0.048883,0.989430,0.146713,0.021616,0.678098,0.026585,-202.421178,2.930867,18.000000,
0.048883,0.989430,0.146713,0.021616,0.678098,0.026585,-202.421178,2.930867,18.000000,
0.048883,0.989430,0.146713,0.021616,0.678098,0.026585,-202.421178,2.930867,18.000000,
0.048917,0.984889,0.145881,0.021296,0.676394,0.027220,-203.086105,2.930867,18.000000,
0.048870,0.983046,0.146070,0.034241,0.646965,0.034106,-204.234851,2.930867,18.000000,
0.048870,0.983046,0.146070,0.034241,0.646965,0.034106,-204.234851,2.930867,18.000000,
0.048879,0.981760,0.146226,0.029497,0.657345,0.031027,-203.907241,2.930867,18.000000,
0.048879,0.981760,0.146226,0.029497,0.657345,0.031027,-203.907241,2.930867,18.000000,
0.048863,0.982877,0.145607,0.031117,0.658253,0.030249,-203.710955,2.930867,18.000000,
0.048861,0.985152,0.146073,0.036502,0.646837,0.031753,-203.493583,2.930867,18.000000,
0.048861,0.985152,0.146073,0.036502,0.646837,0.031753,-203.493583,2.930867,18.000000,
0.048861,0.985152,0.146073,0.036502,0.646837,0.031753,-203.493583,2.930867,18.000000,
0.048861,0.985152,0.146073,0.036502,0.646837,0.031753,-203.493583,2.930867,18.000000,
0.048965,0.982878,0.144424,0.019546,0.680806,0.030097,-203.778225,2.930867,18.000000,
0.048901,0.983387,0.146479,0.026924,0.666732,0.030251,-204.451535,2.930867,18.000000,
0.048901,0.983387,0.146479,0.026924,0.666732,0.030251,-204.451535,2.930867,18.000000,
0.048901,0.983387,0.146479,0.026924,0.666732,0.030251,-204.451535,2.930867,18.000000,
0.048901,0.983387,0.146479,0.026924,0.666732,0.030251,-204.451535,2.930867,18.000000,
0.048901,0.983387,0.146479,0.026924,0.666732,0.030251,-204.451535,2.930867,18.000000,
0.048901,0.983387,0.146479,0.026924,0.666732,0.030251,-204.451535,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048881,0.986090,0.148456,0.011979,0.690640,0.029998,-204.572472,2.930867,18.000000,
0.048846,0.985942,0.151028,0.016943,0.667003,0.032215,-205.256502,2.930867,18.000000,
0.048806,0.992929,0.148074,0.027661,0.664335,0.033673,-202.740057,2.930867,18.000000,
0.048806,0.992929,0.148074,0.027661,0.664335,0.033673,-202.740057,2.930867,18.000000,
0.048806,0.992929,0.148074,0.027661,0.664335,0.033673,-202.740057,2.930867,18.000000,
0.048806,0.992929,0.148074,0.027661,0.664335,0.033673,-202.740057,2.930867,18.000000,
0.048765,0.993684,0.150383,0.037998,0.632780,0.034720,-203.323000,2.930867,18.000000,
0.048796,0.991358,0.151396,0.035338,0.629204,0.032787,-203.714149,2.930867,18.000000,
