q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.025831,0.837133,0.366159,0.131927,0.995664,0.072291,-11.608409,1.921372,972156.154828,809112.505539,1606563.914634,144541.722745,526430.590239,362.434413,97.578496,206.952194,30.024153,24.662697,83.638711,22.518114,48.253102,6.433747,5.361456,515.772049,139.397851,294.880069,41.819355,35.385608,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025579,0.494402,0.368441,0.141276,0.956697,0.081747,-11.413020,1.905261,972147.672878,809110.217209,1606559.063753,144541.032464,526430.013429,365.630510,98.438983,208.777185,30.288918,24.880183,84.376271,22.716688,48.678618,6.490482,5.408735,520.320341,140.627119,297.480444,42.188136,35.697653,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025579,0.494402,0.368441,0.141276,0.956697,0.081747,-11.413020,1.905261,972147.672878,809110.217209,1606559.063753,144541.032464,526430.013429,365.630510,98.438983,208.777185,30.288918,24.880183,84.376271,22.716688,48.678618,6.490482,5.408735,520.320341,140.627119,297.480444,42.188136,35.697653,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025579,0.494402,0.368441,0.141276,0.956697,0.081747,-11.413020,1.905261,972147.672878,809110.217209,1606559.063753,144541.032464,526430.013429,365.630510,98.438983,208.777185,30.288918,24.880183,84.376271,22.716688,48.678618,6.490482,5.408735,520.320341,140.627119,297.480444,42.188136,35.697653,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025579,0.494402,0.368441,0.141276,0.956697,0.081747,-11.413020,1.905261,972147.672878,809110.217209,1606559.063753,144541.032464,526430.013429,365.630510,98.438983,208.777185,30.288918,24.880183,84.376271,22.716688,48.678618,6.490482,5.408735,520.320341,140.627119,297.480444,42.188136,35.697653,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025579,0.494402,0.368441,0.141276,0.956697,0.081747,-11.413020,1.905261,972147.672878,809110.217209,1606559.063753,144541.032464,526430.013429,365.630510,98.438983,208.777185,30.288918,24.880183,84.376271,22.716688,48.678618,6.490482,5.408735,520.320341,140.627119,297.480444,42.188136,35.697653,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025579,0.494402,0.368441,0.141276,0.956697,0.081747,-11.413020,1.905261,972147.672878,809110.217209,1606559.063753,144541.032464,526430.013429,365.630510,98.438983,208.777185,30.288918,24.880183,84.376271,22.716688,48.678618,6.490482,5.408735,520.320341,140.627119,297.480444,42.188136,35.697653,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025564,0.544647,0.368595,0.174030,0.893679,0.082525,-10.882328,1.904376,972146.975386,809110.029034,1606558.664853,144540.975700,526429.965996,365.893333,98.509743,208.927258,30.310690,24.898067,84.436923,22.733018,48.713609,6.495148,5.412623,520.694358,140.728205,297.694280,42.218461,35.723314,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025564,0.544647,0.368595,0.174030,0.893679,0.082525,-10.882328,1.904376,972146.975386,809110.029034,1606558.664853,144540.975700,526429.965996,365.893333,98.509743,208.927258,30.310690,24.898067,84.436923,22.733018,48.713609,6.495148,5.412623,520.694358,140.728205,297.694280,42.218461,35.723314,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025564,0.544647,0.368595,0.174030,0.893679,0.082525,-10.882328,1.904376,972146.975386,809110.029034,1606558.664853,144540.975700,526429.965996,365.893333,98.509743,208.927258,30.310690,24.898067,84.436923,22.733018,48.713609,6.495148,5.412623,520.694358,140.728205,297.694280,42.218461,35.723314,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025652,0.773067,0.363034,0.140815,0.988718,0.089829,-10.702097,1.904423,972140.423180,809108.261326,1606554.917604,144540.442466,526429.520417,368.362280,99.174460,210.337042,30.515218,25.066072,85.006680,22.886414,49.042315,6.538975,5.449146,524.207860,141.677800,299.703039,42.503340,35.964365,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025794,0.739368,0.362086,0.131403,0.986475,0.072416,-12.319593,1.913886,972156.042921,809112.475348,1606563.850633,144541.713638,526430.582629,362.476581,97.589849,206.976272,30.027646,24.665566,83.648442,22.520734,48.258716,6.434496,5.362080,515.832057,139.414069,294.914378,41.824221,35.389725,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025794,0.739368,0.362086,0.131403,0.986475,0.072416,-12.319593,1.913886,972156.042921,809112.475348,1606563.850633,144541.713638,526430.582629,362.476581,97.589849,206.976272,30.027646,24.665566,83.648442,22.520734,48.258716,6.434496,5.362080,515.832057,139.414069,294.914378,41.824221,35.389725,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025846,0.771082,0.359730,0.127840,0.999848,0.067555,-10.996999,1.914971,972160.403301,809113.651727,1606566.344363,144542.068496,526430.879154,360.833539,97.147491,206.038086,29.891536,24.553762,83.269278,22.418652,48.039968,6.405329,5.337774,513.493882,138.782130,293.577583,41.634639,35.229310,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025846,0.771082,0.359730,0.127840,0.999848,0.067555,-10.996999,1.914971,972160.403301,809113.651727,1606566.344363,144542.068496,526430.879154,360.833539,97.147491,206.038086,29.891536,24.553762,83.269278,22.418652,48.039968,6.405329,5.337774,513.493882,138.782130,293.577583,41.634639,35.229310,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.024944,0.903700,0.375067,0.284581,0.757350,0.175921,-11.627494,1.865423,972063.199038,809087.427165,1606510.752627,144534.157781,526424.268831,397.461232,107.008793,226.952715,32.925783,27.046179,91.721823,24.694337,52.916436,7.055525,5.879604,565.617907,152.869705,323.378221,45.860911,38.805387,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.024916,0.863120,0.378035,0.265670,0.780564,0.177157,-11.659587,1.866659,972062.090086,809087.127983,1606510.118410,144534.067532,526424.193417,397.879098,107.121296,227.191319,32.960399,27.074613,91.818253,24.720299,52.972069,7.062943,5.885785,566.212563,153.030422,323.718201,45.909127,38.846184,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025074,0.888502,0.374412,0.264476,0.783544,0.158586,-11.415909,1.874433,972078.748133,809091.622127,1606519.645253,144535.423204,526425.326239,391.602153,105.431349,223.607147,32.440415,26.647484,90.369728,24.330311,52.136381,6.951518,5.792931,557.279987,150.616213,318.611219,45.184864,38.233346,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025185,0.895541,0.372381,0.254140,0.797902,0.148419,-12.490059,1.880426,972087.868045,809094.082572,1606524.860989,144536.165404,526425.946433,388.165664,104.506140,221.644891,32.155736,26.413640,89.576692,24.116802,51.678861,6.890515,5.742096,552.389599,149.294486,315.815259,44.788346,37.897831,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025230,0.896233,0.372826,0.242685,0.806168,0.141981,-12.780180,1.884287,972093.642699,809095.640505,1606528.163550,144536.635359,526426.339136,385.989708,103.920306,220.402407,31.975479,26.265572,89.074548,23.981609,51.389162,6.851888,5.709907,549.293046,148.457580,314.044881,44.537274,37.685386,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025213,0.937432,0.373224,0.235041,0.829034,0.142703,-12.283142,1.883426,972092.995845,809095.465992,1606527.793610,144536.582716,526426.295147,386.233450,103.985929,220.541585,31.995670,26.282158,89.130796,23.996753,51.421613,6.856215,5.713513,549.639909,148.551327,314.243191,44.565398,37.709183,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025188,0.950467,0.376058,0.254623,0.784233,0.141097,-12.634614,1.884811,972094.436374,809095.854629,1606528.617458,144536.699950,526426.393109,385.690642,103.839788,220.231639,31.950704,26.245221,89.005533,23.963028,51.349346,6.846579,5.705483,548.867451,148.342554,313.801557,44.502766,37.656187,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
0.025112,0.902299,0.374513,0.261431,0.789130,0.156794,-12.011318,1.877402,972080.356039,809092.055921,1606520.564825,144535.554059,526425.435584,390.996275,105.268228,223.261187,32.390224,26.606255,90.229910,24.292668,52.055717,6.940762,5.783969,556.417776,150.383183,318.118271,45.114955,38.174193,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,19.000000,
