q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.026075,0.543808,0.378538,0.258553,0.632792,0.023907,-12.835372,1.538823,8.000000,
0.026024,0.534698,0.376426,0.276889,0.604446,0.037205,-13.135113,1.538823,8.000000,
0.025883,0.591144,0.374159,0.377489,0.478307,0.043914,-17.124645,1.538823,8.000000,
0.025864,0.564191,0.377299,0.353650,0.510686,0.041883,-15.889158,1.538823,8.000000,
0.025836,0.607555,0.377957,0.396480,0.428299,0.042749,-15.165086,1.538823,8.000000,
0.026002,0.598492,0.374946,0.406919,0.405131,0.023696,-14.274478,1.538823,8.000000,
0.026002,0.598492,0.374946,0.406919,0.405131,0.023696,-14.274478,1.538823,8.000000,
0.026105,0.585878,0.370482,0.386392,0.447479,0.016759,-14.177270,1.538823,8.000000,
0.026105,0.585878,0.370482,0.386392,0.447479,0.016759,-14.177270,1.538823,8.000000,
0.026044,0.606152,0.373759,0.420207,0.373339,0.017054,-13.747554,1.538823,8.000000,
0.026047,0.634063,0.373958,0.431186,0.355093,0.011919,-13.672563,1.538823,8.000000,
0.026047,0.634063,0.373958,0.431186,0.355093,0.011919,-13.672563,1.538823,8.000000,
0.026047,0.634063,0.373958,0.431186,0.355093,0.011919,-13.672563,1.538823,8.000000,
0.026047,0.634063,0.373958,0.431186,0.355093,0.011919,-13.672563,1.538823,8.000000,
0.026152,0.623944,0.370431,0.402973,0.408434,0.003497,-13.253305,1.538823,8.000000,
0.026152,0.623944,0.370431,0.402973,0.408434,0.003497,-13.253305,1.538823,8.000000,
0.026152,0.623944,0.370431,0.402973,0.408434,0.003497,-13.253305,1.538823,8.000000,
0.026099,0.613961,0.372615,0.397412,0.409095,0.007502,-12.315451,1.538823,8.000000,
0.026025,0.659215,0.374029,0.392616,0.424333,0.015900,-12.590404,1.538823,8.000000,
0.026027,0.651555,0.373797,0.401624,0.413852,0.016380,-12.936766,1.538823,8.000000,
0.026027,0.651555,0.373797,0.401624,0.413852,0.016380,-12.936766,1.538823,8.000000,
0.026027,0.651555,0.373797,0.401624,0.413852,0.016380,-12.936766,1.538823,8.000000,
0.026033,0.629501,0.374125,0.394888,0.422368,0.011768,-13.181076,1.538823,8.000000,
0.026043,0.812840,0.370986,0.350194,0.557592,0.018946,-12.465630,1.538823,8.000000,
0.026043,0.812840,0.370986,0.350194,0.557592,0.018946,-12.465630,1.538823,8.000000,
0.026043,0.812840,0.370986,0.350194,0.557592,0.018946,-12.465630,1.538823,8.000000,
0.025923,0.811465,0.375553,0.371715,0.509031,0.027271,-14.489720,1.538823,8.000000,
0.025923,0.811465,0.375553,0.371715,0.509031,0.027271,-14.489720,1.538823,8.000000,
0.025977,0.853658,0.374041,0.407622,0.437159,0.024710,-13.124773,1.538823,8.000000,
0.025967,0.850938,0.370858,0.501931,0.244777,0.027650,-14.164434,1.538823,8.000000,
0.025967,0.850938,0.370858,0.501931,0.244777,0.027650,-14.164434,1.538823,8.000000,
0.025967,0.850938,0.370858,0.501931,0.244777,0.027650,-14.164434,1.538823,8.000000,
0.025967,0.850938,0.370858,0.501931,0.244777,0.027650,-14.164434,1.538823,8.000000,
0.026021,0.863078,0.370587,0.496603,0.247412,0.017356,-13.174001,1.538823,8.000000,
0.026021,0.863078,0.370587,0.496603,0.247412,0.017356,-13.174001,1.538823,8.000000,
0.026021,0.863078,0.370587,0.496603,0.247412,0.017356,-13.174001,1.538823,8.000000,
0.026021,0.863078,0.370587,0.496603,0.247412,0.017356,-13.174001,1.538823,8.000000,
0.026051,0.822818,0.373419,0.456971,0.300499,0.011014,-11.804852,1.538823,8.000000,
0.026083,0.767192,0.368284,0.456859,0.311743,0.017442,-11.975145,1.538823,8.000000,
0.026135,0.752807,0.367111,0.434716,0.354260,0.011803,-11.828521,1.538823,8.000000,
0.026202,0.771903,0.366975,0.407746,0.403463,0.001763,-12.060527,1.538823,8.000000,
0.026202,0.771903,0.366975,0.407746,0.403463,0.001763,-12.060527,1.538823,8.000000,
0.026202,0.771903,0.366975,0.407746,0.403463,0.001763,-12.060527,1.538823,8.000000,
0.026244,0.895009,0.361236,0.301069,0.635969,0.000392,-9.440502,1.538823,8.000000,
0.026219,0.888071,0.359341,0.295629,0.666572,0.007442,-9.902962,1.538823,8.000000,
0.026171,0.914482,0.356450,0.336623,0.600917,0.019557,-10.191254,1.538823,8.000000,
0.026171,0.914482,0.356450,0.336623,0.600917,0.019557,-10.191254,1.538823,8.000000,
0.026171,0.914482,0.356450,0.336623,0.600917,0.019557,-10.191254,1.538823,8.000000,
0.026194,0.873264,0.355975,0.323694,0.614170,0.021334,-10.469962,1.538823,8.000000,
0.025629,0.931854,0.367577,0.302259,0.652058,0.085378,-10.853111,1.538823,8.000000,
0.025564,0.890388,0.371656,0.282072,0.680914,0.090416,-10.869460,1.538823,8.000000,
0.025564,0.890388,0.371656,0.282072,0.680914,0.090416,-10.869460,1.538823,8.000000,
0.025564,0.890388,0.371656,0.282072,0.680914,0.090416,-10.869460,1.538823,8.000000,
0.025327,0.680388,0.393509,0.336685,0.483569,0.076299,-12.509808,1.538823,8.000000,
0.025142,0.669651,0.400156,0.362084,0.438550,0.088014,-12.976326,1.538823,8.000000,
0.025142,0.669651,0.400156,0.362084,0.438550,0.088014,-12.976326,1.538823,8.000000,
0.025142,0.669651,0.400156,0.362084,0.438550,0.088014,-12.976326,1.538823,8.000000,
0.025142,0.669651,0.400156,0.362084,0.438550,0.088014,-12.976326,1.538823,8.000000,
0.025142,0.669651,0.400156,0.362084,0.438550,0.088014,-12.976326,1.538823,8.000000,
0.025077,0.603647,0.385611,0.296262,0.638486,0.132332,-12.738602,1.538823,8.000000,
0.025077,0.603647,0.385611,0.296262,0.638486,0.132332,-12.738602,1.538823,8.000000,
0.025116,0.673143,0.385746,0.277632,0.680253,0.124217,-11.536716,1.538823,8.000000,
0.025206,0.641135,0.385258,0.273457,0.678435,0.112512,-10.886525,1.538823,8.000000,
0.025812,0.776469,0.375130,0.249582,0.708444,0.044284,-10.234536,1.538823,8.000000,
0.025777,0.760519,0.373568,0.234983,0.740990,0.054644,-10.142962,1.538823,8.000000,
0.026213,0.682281,0.365143,0.277885,0.608315,0.008395,-10.409976,1.538823,8.000000,
0.026213,0.682281,0.365143,0.277885,0.608315,0.008395,-10.409976,1.538823,8.000000,
0.026263,0.639901,0.361602,0.293921,0.586293,0.004684,-10.724437,1.538823,8.000000,
0.026263,0.639901,0.361602,0.293921,0.586293,0.004684,-10.724437,1.538823,8.000000,
0.026263,0.639901,0.361602,0.293921,0.586293,0.004684,-10.724437,1.538823,8.000000,
0.026207,0.602326,0.363624,0.317519,0.527880,0.008252,-11.360940,1.538823,8.000000,
0.026207,0.602326,0.363624,0.317519,0.527880,0.008252,-11.360940,1.538823,8.000000,
0.026236,0.609108,0.361631,0.278276,0.614732,0.009249,-10.679509,1.538823,8.000000,
0.025643,0.863482,0.374240,0.424665,0.406070,0.058818,-10.961219,1.538823,8.000000,
0.025643,0.863482,0.374240,0.424665,0.406070,0.058818,-10.961219,1.538823,8.000000,
0.025643,0.863482,0.374240,0.424665,0.406070,0.058818,-10.961219,1.538823,8.000000,
0.025752,0.730465,0.376099,0.485993,0.221620,0.045708,-13.065412,1.538823,8.000000,
0.025800,0.750908,0.375550,0.476367,0.236178,0.041700,-11.767003,1.538823,8.000000,
0.025766,0.764629,0.374737,0.479643,0.233390,0.049013,-12.581732,1.538823,8.000000,
0.025734,0.778349,0.381115,0.476185,0.216706,0.041650,-11.530900,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
