q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.048753,0.996105,0.137466,0.071212,0.641336,0.027538,-204.025172,3.123000,1396018.232627,1161957.812465,2307268.688622,207663.796924,1090448.383847,376.079072,100.698768,214.755536,30.826153,36.991384,87.340768,23.633384,50.349384,7.192769,8.220308,535.347532,143.855383,306.206458,44.184153,52.404461,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048738,0.997811,0.137014,0.073624,0.643086,0.029576,-204.005241,3.121031,1396016.251927,1161957.280610,2307267.555629,207663.633903,1090448.190260,376.824892,100.898468,215.181427,30.887286,37.064743,87.513978,23.680253,50.449234,7.207033,8.236610,536.409204,144.140669,306.813710,44.271777,52.508387,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048879,0.998098,0.136353,0.081395,0.622515,0.025152,-203.273866,3.128637,1396020.552559,1161958.435409,2307270.015661,207663.987865,1090448.610590,375.205518,100.464865,214.256703,30.754551,36.905461,87.137894,23.578489,50.232433,7.176062,8.201214,534.104030,143.521236,305.495203,44.081523,52.282736,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
0.048879,0.998098,0.136353,0.081395,0.622515,0.025152,-203.273866,3.128637,1396020.552559,1161958.435409,2307270.015661,207663.987865,1090448.610590,375.205518,100.464865,214.256703,30.754551,36.905461,87.137894,23.578489,50.232433,7.176062,8.201214,534.104030,143.521236,305.495203,44.081523,52.282736,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,9.000000,
