region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,6,18.19529,1.103234,9.670391,2.670468,4.105395,26.11445,0,0,0,0,0,0,0,
sflor,5,6,36.77362,129.7726,15.45138,30.30156,6.882794,181.8843,0,0,0,0,0,0,0,
wash,5,6,1.361696,1.006647,1.316283,2.100149,2.229941,2.283641,0,0,0,0,0,0,0,
nyc,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,
