q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.031522,0.004682,0.327141,0.183108,0.903259,0.001134,0.863835,2.468644,5.112576,6.719808,-7507.113105,1.868338,1.000000,
0.031522,0.004682,0.327141,0.183108,0.903259,0.001134,0.863835,2.468644,5.112576,6.719808,-7507.113105,1.868338,1.000000,
0.031533,0.004666,0.326840,0.183441,0.903880,0.001099,0.863461,2.467994,5.115173,6.709082,-7507.573973,1.868338,1.000000,
0.031533,0.004666,0.326840,0.183441,0.903880,0.001099,0.863461,2.467994,5.115173,6.709082,-7507.573973,1.868338,1.000000,
0.031607,0.004680,0.326904,0.183709,0.905996,0.001097,0.860906,2.468291,5.112383,6.689001,-7507.510539,1.868338,1.000000,
0.031607,0.004680,0.326904,0.183709,0.905996,0.001097,0.860906,2.468291,5.112383,6.689001,-7507.510539,1.868338,1.000000,
0.031704,0.004710,0.327107,0.183916,0.908399,0.001111,0.857216,2.467400,5.108058,6.668262,-7507.358736,1.868338,1.000000,
0.031772,0.004744,0.327173,0.183985,0.910640,0.001145,0.854909,2.468003,5.106882,6.648806,-7506.673434,1.868338,1.000000,
0.031772,0.004744,0.327173,0.183985,0.910640,0.001145,0.854909,2.468003,5.106882,6.648806,-7506.673434,1.868338,1.000000,
0.031772,0.004744,0.327173,0.183985,0.910640,0.001145,0.854909,2.468003,5.106882,6.648806,-7506.673434,1.868338,1.000000,
0.031772,0.004744,0.327173,0.183985,0.910640,0.001145,0.854909,2.468003,5.106882,6.648806,-7506.673434,1.868338,1.000000,
0.031772,0.004744,0.327173,0.183985,0.910640,0.001145,0.854909,2.468003,5.106882,6.648806,-7506.673434,1.868338,1.000000,
0.031803,0.004810,0.327621,0.183525,0.912274,0.001219,0.853931,2.469819,5.103944,6.643441,-7505.066175,1.868338,1.000000,
0.031803,0.004810,0.327621,0.183525,0.912274,0.001219,0.853931,2.469819,5.103944,6.643441,-7505.066175,1.868338,1.000000,
0.031803,0.004810,0.327621,0.183525,0.912274,0.001219,0.853931,2.469819,5.103944,6.643441,-7505.066175,1.868338,1.000000,
