q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041402,0.974271,0.308640,0.002263,0.769003,0.005391,-7598.031934,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041396,0.974776,0.308727,0.000431,0.773729,0.005835,-7596.857947,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
0.041402,0.970041,0.308492,0.002132,0.768013,0.005841,-7597.776450,2.472451,3.000000,
