q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028102,0.208806,0.306199,0.087889,0.996995,0.000154,0.814407,1.908908,-7799.674893,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028044,0.207864,0.305205,0.090821,0.995497,0.000168,0.816880,1.907938,-7802.303301,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028066,0.209359,0.304714,0.089223,0.998057,0.000150,0.815993,1.907969,-7800.405458,1.661267,5.000000,
0.028104,0.208929,0.306553,0.086231,0.996345,0.000144,0.814622,1.908680,-7803.268204,1.661267,5.000000,
0.028104,0.208929,0.306553,0.086231,0.996345,0.000144,0.814622,1.908680,-7803.268204,1.661267,5.000000,
0.028104,0.208929,0.306553,0.086231,0.996345,0.000144,0.814622,1.908680,-7803.268204,1.661267,5.000000,
0.028187,0.210326,0.306882,0.083412,0.997104,0.000132,0.810898,1.909379,-7802.439048,1.661267,5.000000,
