q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,LogLikelihood,R0,i_chain,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
0.041565,0.067192,0.237860,0.100580,0.595714,0.005673,0.996687,2.849437,2.977004,6.878436,1.327689,13.991969,-415.235911,2.482473,5.000000,
