q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048865,0.993636,0.138538,0.095485,0.565003,0.024732,-202.401803,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048930,0.995556,0.135860,0.095778,0.574640,0.025160,-203.009071,2.934580,9.000000,
0.048854,0.982853,0.142017,0.096070,0.538270,0.023886,-203.986398,2.934580,9.000000,
0.048854,0.982853,0.142017,0.096070,0.538270,0.023886,-203.986398,2.934580,9.000000,
0.048854,0.982853,0.142017,0.096070,0.538270,0.023886,-203.986398,2.934580,9.000000,
0.048907,0.981130,0.141381,0.102873,0.517700,0.025056,-205.862284,2.934580,9.000000,
0.048913,0.981592,0.141161,0.106192,0.512887,0.025768,-205.494379,2.934580,9.000000,
0.048913,0.981592,0.141161,0.106192,0.512887,0.025768,-205.494379,2.934580,9.000000,
0.048913,0.981592,0.141161,0.106192,0.512887,0.025768,-205.494379,2.934580,9.000000,
0.048913,0.981592,0.141161,0.106192,0.512887,0.025768,-205.494379,2.934580,9.000000,
0.048913,0.981592,0.141161,0.106192,0.512887,0.025768,-205.494379,2.934580,9.000000,
0.048913,0.981592,0.141161,0.106192,0.512887,0.025768,-205.494379,2.934580,9.000000,
0.048840,0.987301,0.141333,0.108532,0.514747,0.026117,-203.978569,2.934580,9.000000,
0.048840,0.987301,0.141333,0.108532,0.514747,0.026117,-203.978569,2.934580,9.000000,
0.048840,0.987301,0.141333,0.108532,0.514747,0.026117,-203.978569,2.934580,9.000000,
0.048865,0.984738,0.141316,0.111893,0.503883,0.026938,-205.087875,2.934580,9.000000,
0.048865,0.984738,0.141316,0.111893,0.503883,0.026938,-205.087875,2.934580,9.000000,
0.048865,0.984738,0.141316,0.111893,0.503883,0.026938,-205.087875,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
0.048792,0.994773,0.142962,0.121372,0.481826,0.029828,-203.039817,2.934580,9.000000,
