q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.020183,0.987591,0.424783,0.067530,0.324032,0.026837,0.748140,2.973754,5.883483,12.766160,-2.973289,1.185911,2.000000,
0.020183,0.987591,0.424783,0.067530,0.324032,0.026837,0.748140,2.973754,5.883483,12.766160,-2.973289,1.185911,2.000000,
0.020183,0.987591,0.424783,0.067530,0.324032,0.026837,0.748140,2.973754,5.883483,12.766160,-2.973289,1.185911,2.000000,
0.020183,0.987591,0.424783,0.067530,0.324032,0.026837,0.748140,2.973754,5.883483,12.766160,-2.973289,1.185911,2.000000,
0.020183,0.987591,0.424783,0.067530,0.324032,0.026837,0.748140,2.973754,5.883483,12.766160,-2.973289,1.185911,2.000000,
0.020183,0.987591,0.424783,0.067530,0.324032,0.026837,0.748140,2.973754,5.883483,12.766160,-2.973289,1.185911,2.000000,
0.020610,0.984386,0.422884,0.048102,0.356943,0.027044,0.739782,3.003168,5.715051,12.774195,-3.185091,1.185911,2.000000,
0.020610,0.984386,0.422884,0.048102,0.356943,0.027044,0.739782,3.003168,5.715051,12.774195,-3.185091,1.185911,2.000000,
0.020610,0.984386,0.422884,0.048102,0.356943,0.027044,0.739782,3.003168,5.715051,12.774195,-3.185091,1.185911,2.000000,
0.020610,0.984386,0.422884,0.048102,0.356943,0.027044,0.739782,3.003168,5.715051,12.774195,-3.185091,1.185911,2.000000,
0.020610,0.984386,0.422884,0.048102,0.356943,0.027044,0.739782,3.003168,5.715051,12.774195,-3.185091,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
0.020795,0.968014,0.421251,0.056103,0.381815,0.026308,0.719374,2.926706,5.740966,12.599022,-4.903010,1.185911,2.000000,
