q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,LogLikelihood,R0,i_chain,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021596,0.745180,0.424127,0.012185,0.484076,0.001685,0.219523,0.037958,13.457029,12.363377,7.407500,13.370103,-2.729723,1.270337,4.000000,
0.021433,0.766767,0.420806,0.016226,0.505953,0.001548,0.230813,0.032921,13.830871,12.217891,7.156019,13.475890,-3.029789,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021294,0.804322,0.421449,0.018353,0.480730,0.001510,0.230845,0.017292,13.675596,12.430683,7.176245,13.389417,-2.504407,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
0.021190,0.827987,0.418645,0.025376,0.461081,0.001546,0.234170,0.009012,13.595369,12.615692,7.276323,13.188111,-2.851224,1.270337,4.000000,
