q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.031708,0.633345,0.397705,0.009972,0.151349,0.048061,0.634216,6.849930,-2.484613,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032070,0.649002,0.397670,0.005423,0.181915,0.047554,0.613352,6.752802,-1.307443,1.880173,8.000000,
0.032051,0.655029,0.400643,0.008701,0.176501,0.043672,0.609837,6.660690,-3.952307,1.880173,8.000000,
0.032051,0.655029,0.400643,0.008701,0.176501,0.043672,0.609837,6.660690,-3.952307,1.880173,8.000000,
0.031986,0.622587,0.396332,0.000439,0.125371,0.034065,0.641737,6.981945,-1.551820,1.880173,8.000000,
0.031986,0.622587,0.396332,0.000439,0.125371,0.034065,0.641737,6.981945,-1.551820,1.880173,8.000000,
0.031986,0.622587,0.396332,0.000439,0.125371,0.034065,0.641737,6.981945,-1.551820,1.880173,8.000000,
0.031986,0.622587,0.396332,0.000439,0.125371,0.034065,0.641737,6.981945,-1.551820,1.880173,8.000000,
0.031986,0.622587,0.396332,0.000439,0.125371,0.034065,0.641737,6.981945,-1.551820,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.032273,0.642619,0.398769,0.007992,0.110178,0.041995,0.625609,6.942021,-1.752535,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031450,0.648437,0.398598,0.007463,0.144811,0.042909,0.640929,6.809706,-3.523950,1.880173,8.000000,
0.031450,0.648437,0.398598,0.007463,0.144811,0.042909,0.640929,6.809706,-3.523950,1.880173,8.000000,
0.031079,0.651310,0.402304,0.017920,0.114201,0.030901,0.653243,6.754028,-3.406457,1.880173,8.000000,
