q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.025593,0.839560,0.369206,0.117611,0.989674,0.092902,-10.743886,1.510883,1.000000,
0.025593,0.839560,0.369206,0.117611,0.989674,0.092902,-10.743886,1.510883,1.000000,
0.026296,0.556547,0.361446,0.137743,0.883649,0.000469,-9.655956,1.510883,1.000000,
0.026296,0.556547,0.361446,0.137743,0.883649,0.000469,-9.655956,1.510883,1.000000,
0.025368,0.527606,0.386009,0.200401,0.771444,0.084159,-12.575637,1.510883,1.000000,
0.024915,0.495119,0.396409,0.115042,0.926525,0.139809,-13.463281,1.510883,1.000000,
0.024915,0.495119,0.396409,0.115042,0.926525,0.139809,-13.463281,1.510883,1.000000,
0.024915,0.495119,0.396409,0.115042,0.926525,0.139809,-13.463281,1.510883,1.000000,
0.025028,0.566718,0.396380,0.104741,0.944461,0.119549,-13.143137,1.510883,1.000000,
0.024994,0.609992,0.390606,0.277012,0.651656,0.139938,-12.468315,1.510883,1.000000,
0.024914,0.667415,0.376543,0.325060,0.657460,0.178888,-12.156147,1.510883,1.000000,
0.025686,0.479685,0.394130,0.201602,0.696486,0.037290,-15.515228,1.510883,1.000000,
0.025757,0.423088,0.391492,0.202441,0.687177,0.033712,-13.369410,1.510883,1.000000,
0.025901,0.437607,0.387958,0.165425,0.755711,0.020300,-12.213415,1.510883,1.000000,
0.025901,0.437607,0.387958,0.165425,0.755711,0.020300,-12.213415,1.510883,1.000000,
0.025901,0.437607,0.387958,0.165425,0.755711,0.020300,-12.213415,1.510883,1.000000,
0.025901,0.437607,0.387958,0.165425,0.755711,0.020300,-12.213415,1.510883,1.000000,
0.025901,0.437607,0.387958,0.165425,0.755711,0.020300,-12.213415,1.510883,1.000000,
0.025901,0.437607,0.387958,0.165425,0.755711,0.020300,-12.213415,1.510883,1.000000,
0.025369,0.376938,0.392657,0.220170,0.720592,0.079160,-12.766134,1.510883,1.000000,
0.025428,0.541413,0.380692,0.315152,0.578941,0.083804,-13.236330,1.510883,1.000000,
0.025278,0.509300,0.380958,0.335269,0.561634,0.106074,-12.863646,1.510883,1.000000,
0.025475,0.522140,0.372094,0.334315,0.601149,0.093237,-12.723871,1.510883,1.000000,
0.025389,0.485555,0.374601,0.297150,0.667427,0.106232,-12.409015,1.510883,1.000000,
0.025389,0.485555,0.374601,0.297150,0.667427,0.106232,-12.409015,1.510883,1.000000,
0.025344,0.505978,0.373479,0.324328,0.619316,0.113728,-12.191145,1.510883,1.000000,
0.025344,0.505978,0.373479,0.324328,0.619316,0.113728,-12.191145,1.510883,1.000000,
0.025138,0.493979,0.375772,0.351501,0.571225,0.138789,-12.407549,1.510883,1.000000,
0.025222,0.435341,0.375642,0.308719,0.641756,0.126279,-12.161552,1.510883,1.000000,
0.025222,0.435341,0.375642,0.308719,0.641756,0.126279,-12.161552,1.510883,1.000000,
0.025222,0.435341,0.375642,0.308719,0.641756,0.126279,-12.161552,1.510883,1.000000,
0.025222,0.435341,0.375642,0.308719,0.641756,0.126279,-12.161552,1.510883,1.000000,
0.025156,0.452522,0.377401,0.329751,0.597564,0.132341,-12.125907,1.510883,1.000000,
0.025156,0.452522,0.377401,0.329751,0.597564,0.132341,-12.125907,1.510883,1.000000,
0.025207,0.446833,0.376716,0.353441,0.553588,0.124797,-12.161020,1.510883,1.000000,
0.025664,0.558969,0.367358,0.286780,0.712965,0.066108,-13.576717,1.510883,1.000000,
0.025829,0.564103,0.367871,0.289130,0.678691,0.041883,-12.638203,1.510883,1.000000,
0.025829,0.564103,0.367871,0.289130,0.678691,0.041883,-12.638203,1.510883,1.000000,
0.025826,0.537033,0.371830,0.300370,0.641594,0.040126,-12.530433,1.510883,1.000000,
0.025826,0.537033,0.371830,0.300370,0.641594,0.040126,-12.530433,1.510883,1.000000,
0.025826,0.537033,0.371830,0.300370,0.641594,0.040126,-12.530433,1.510883,1.000000,
0.025850,0.590861,0.373456,0.310542,0.614595,0.034563,-11.691020,1.510883,1.000000,
0.025850,0.590861,0.373456,0.310542,0.614595,0.034563,-11.691020,1.510883,1.000000,
0.025462,0.563718,0.388023,0.237943,0.733265,0.066824,-12.725783,1.510883,1.000000,
0.025553,0.576859,0.387058,0.209277,0.770080,0.054764,-11.381754,1.510883,1.000000,
0.025550,0.599115,0.386755,0.228290,0.736264,0.057412,-11.141126,1.510883,1.000000,
0.025909,0.648897,0.377743,0.121214,0.914283,0.034486,-9.893065,1.510883,1.000000,
0.025909,0.648897,0.377743,0.121214,0.914283,0.034486,-9.893065,1.510883,1.000000,
