q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
0.049572,0.983583,0.148652,0.101188,0.469466,0.001300,-207.931572,3.200513,1396043.735940,1161964.660576,2307283.276937,207665.895962,1090450.876455,366.475973,98.127446,209.271799,30.039014,36.046817,85.110540,23.029911,49.063723,7.009103,8.010404,521.677547,140.182066,298.387541,43.055920,51.066324,3.000000,2.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,1.000000,3.000000,0.000000,1.000000,1553.000000,438.000000,932.000000,136.000000,161.000000,7.000000,
