q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.025609,0.843627,0.387003,0.098457,0.962189,0.045100,-9.800210,1.928979,972180.544942,809119.085703,1606577.863495,144543.707671,526432.248876,353.243935,95.104136,201.704377,29.262811,24.037309,81.517831,21.947108,47.029518,6.270602,5.225502,502.693292,135.863052,287.402610,40.758916,34.488313,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025609,0.843627,0.387003,0.098457,0.962189,0.045100,-9.800210,1.928979,972180.544942,809119.085703,1606577.863495,144543.707671,526432.248876,353.243935,95.104136,201.704377,29.262811,24.037309,81.517831,21.947108,47.029518,6.270602,5.225502,502.693292,135.863052,287.402610,40.758916,34.488313,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025646,0.857897,0.387221,0.102483,0.940823,0.043421,-10.209265,1.932038,972182.051584,809119.492178,1606578.725153,144543.830285,526432.351334,352.676215,94.951289,201.380205,29.215781,23.998677,81.386819,21.911836,46.953934,6.260525,5.217104,501.885383,135.644698,286.940707,40.693409,34.432885,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025604,0.841521,0.383441,0.110292,0.951701,0.055112,-9.605946,1.924443,972171.564944,809116.663006,1606572.727777,144542.976857,526431.638196,356.627702,96.015151,203.636528,29.543123,24.267566,82.298701,22.157342,47.480020,6.330669,5.275558,507.508653,137.164501,290.155675,41.149350,34.818681,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025614,0.846975,0.380225,0.153876,0.871710,0.060944,-9.689018,1.921541,972166.332922,809115.251468,1606569.735551,144542.551063,526431.282395,358.599189,96.545935,204.762259,29.706442,24.401720,82.753659,22.279831,47.742496,6.365666,5.304722,510.314230,137.922765,291.759695,41.376829,35.011163,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025614,0.846975,0.380225,0.153876,0.871710,0.060944,-9.689018,1.921541,972166.332922,809115.251468,1606569.735551,144542.551063,526431.282395,358.599189,96.545935,204.762259,29.706442,24.401720,82.753659,22.279831,47.742496,6.365666,5.304722,510.314230,137.922765,291.759695,41.376829,35.011163,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025610,0.849055,0.381426,0.119589,0.932538,0.061078,-9.843185,1.922613,972166.213197,809115.219168,1606569.667079,144542.541319,526431.274253,358.644303,96.558081,204.788019,29.710179,24.404790,82.764070,22.282634,47.748502,6.366467,5.305389,510.378431,137.940116,291.796400,41.382035,35.015568,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
