q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.041198,0.910270,0.314903,0.000627,0.750773,0.013391,-7610.014612,2.969093,2195537.514348,1874854.810765,3722486.224550,334746.174936,1282366.884656,1978.139139,546.217723,1161.346031,166.196116,145.928297,459.066101,126.673869,269.561993,38.508856,33.441901,2821.280411,779.297642,1654.867425,236.120092,207.745145,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041202,0.898191,0.314713,0.000375,0.751695,0.013606,-7611.180616,2.969021,2195536.399336,1874854.502842,3722485.570240,334746.081463,1282366.802572,1978.558585,546.333544,1161.592284,166.231357,145.959240,459.163442,126.700729,269.619151,38.517022,33.448992,2821.878637,779.462885,1655.218324,236.170159,207.789196,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041202,0.898191,0.314713,0.000375,0.751695,0.013606,-7611.180616,2.969021,2195536.399336,1874854.502842,3722485.570240,334746.081463,1282366.802572,1978.558585,546.333544,1161.592284,166.231357,145.959240,459.163442,126.700729,269.619151,38.517022,33.448992,2821.878637,779.462885,1655.218324,236.170159,207.789196,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041202,0.898191,0.314713,0.000375,0.751695,0.013606,-7611.180616,2.969021,2195536.399336,1874854.502842,3722485.570240,334746.081463,1282366.802572,1978.558585,546.333544,1161.592284,166.231357,145.959240,459.163442,126.700729,269.619151,38.517022,33.448992,2821.878637,779.462885,1655.218324,236.170159,207.789196,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041202,0.898191,0.314713,0.000375,0.751695,0.013606,-7611.180616,2.969021,2195536.399336,1874854.502842,3722485.570240,334746.081463,1282366.802572,1978.558585,546.333544,1161.592284,166.231357,145.959240,459.163442,126.700729,269.619151,38.517022,33.448992,2821.878637,779.462885,1655.218324,236.170159,207.789196,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041202,0.898191,0.314713,0.000375,0.751695,0.013606,-7611.180616,2.969021,2195536.399336,1874854.502842,3722485.570240,334746.081463,1282366.802572,1978.558585,546.333544,1161.592284,166.231357,145.959240,459.163442,126.700729,269.619151,38.517022,33.448992,2821.878637,779.462885,1655.218324,236.170159,207.789196,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041202,0.898191,0.314713,0.000375,0.751695,0.013606,-7611.180616,2.969021,2195536.399336,1874854.502842,3722485.570240,334746.081463,1282366.802572,1978.558585,546.333544,1161.592284,166.231357,145.959240,459.163442,126.700729,269.619151,38.517022,33.448992,2821.878637,779.462885,1655.218324,236.170159,207.789196,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041206,0.894481,0.314346,0.001752,0.750954,0.013112,-7612.321054,2.968677,2195538.960742,1874855.210203,3722487.073320,334746.296189,1282366.991136,1977.595034,546.067481,1161.026593,166.150402,145.888158,458.939831,126.639026,269.487848,38.498264,33.432703,2820.504393,779.083290,1654.412239,236.055145,207.688003,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041206,0.894481,0.314346,0.001752,0.750954,0.013112,-7612.321054,2.968677,2195538.960742,1874855.210203,3722487.073320,334746.296189,1282366.991136,1977.595034,546.067481,1161.026593,166.150402,145.888158,458.939831,126.639026,269.487848,38.498264,33.432703,2820.504393,779.083290,1654.412239,236.055145,207.688003,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041206,0.894481,0.314346,0.001752,0.750954,0.013112,-7612.321054,2.968677,2195538.960742,1874855.210203,3722487.073320,334746.296189,1282366.991136,1977.595034,546.067481,1161.026593,166.150402,145.888158,458.939831,126.639026,269.487848,38.498264,33.432703,2820.504393,779.083290,1654.412239,236.055145,207.688003,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
0.041215,0.926491,0.313672,0.000679,0.758068,0.012709,-7610.052103,2.968054,2195541.055245,1874855.788623,3722488.302413,334746.471773,1282367.145327,1976.807123,545.849918,1160.564018,166.084205,145.830034,458.756981,126.588571,269.380479,38.482926,33.419383,2819.380651,778.772888,1653.753090,235.961096,207.605256,15.000000,8.000000,18.000000,3.000000,5.000000,0.000000,6.000000,12.000000,2.000000,4.000000,0.000000,7.000000,15.000000,2.000000,5.000000,8097.000000,2266.000000,4820.000000,695.000000,601.000000,9.000000,
