region,n_vars,n_chains,q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,hosp_subcrit_length,hosp_crit_length,full_chain,
nyc,5,5,28.9659,5.97878,13.896,4.10048,6.191,45.9358,0,0,0,0,0,0,0,
sflor,5,5,1.00672,1.00298,1.02055,1.01472,1.01362,1.03546,0,0,0,0,0,0,0,
wash,5,5,1.00111,1.00433,1.00166,1.00246,1.00367,1.01286,0,0,0,0,0,0,0,
nyc,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
nyc,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
sflor,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
wash,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
