date,state,fips,cases,deaths
3/1/2020,New York,36,1,0
3/2/2020,New York,36,1,0
3/3/2020,New York,36,2,0
3/4/2020,New York,36,11,0
3/5/2020,New York,36,22,0
3/6/2020,New York,36,44,0
3/7/2020,New York,36,89,0
3/8/2020,New York,36,106,0
3/9/2020,New York,36,142,0
3/10/2020,New York,36,173,0
3/11/2020,New York,36,217,0
3/12/2020,New York,36,326,0
3/13/2020,New York,36,421,0
3/14/2020,New York,36,610,2
3/15/2020,New York,36,732,6
3/16/2020,New York,36,950,10
3/17/2020,New York,36,1375,18
3/18/2020,New York,36,2387,32
3/19/2020,New York,36,4161,39
3/20/2020,New York,36,7113,68
3/21/2020,New York,36,10371,95
3/22/2020,New York,36,15188,142
3/23/2020,New York,36,20899,183
3/24/2020,New York,36,25704,264
3/25/2020,New York,36,33117,381
3/26/2020,New York,36,39058,502
3/27/2020,New York,36,44746,645
3/28/2020,New York,36,53517,935
3/29/2020,New York,36,59783,1180
3/30/2020,New York,36,67504,1512
3/31/2020,New York,36,76211,1929
4/1/2020,New York,36,84364,2415
4/2/2020,New York,36,93360,2963
4/3/2020,New York,36,103689,3716
4/4/2020,New York,36,115963,4535
4/5/2020,New York,36,124085,5335
4/6/2020,New York,36,133389,6149
4/7/2020,New York,36,141703,7185
4/8/2020,New York,36,151271,8138
4/9/2020,New York,36,162036,9166
4/10/2020,New York,36,172830,10162
4/11/2020,New York,36,182990,11159
4/12/2020,New York,36,191425,12116
4/13/2020,New York,36,197973,12998
4/14/2020,New York,36,205375,14001
4/15/2020,New York,36,217130,14937
4/16/2020,New York,36,225761,15669
4/17/2020,New York,36,233293,16473
4/18/2020,New York,36,240542,17141
4/19/2020,New York,36,246741,17793
4/20/2020,New York,36,251608,18412
4/21/2020,New York,36,255932,19040
4/22/2020,New York,36,261591,19647
4/23/2020,New York,36,267932,20212
4/24/2020,New York,36,276218,20759
4/25/2020,New York,36,286901,21326
4/26/2020,New York,36,292914,21804
4/27/2020,New York,36,296991,22267
4/28/2020,New York,36,300276,22777
4/29/2020,New York,36,304994,23287
4/30/2020,New York,36,309696,23616
5/1/2020,New York,36,313575,23841
5/2/2020,New York,36,318134,24035
5/3/2020,New York,36,321833,24576
5/4/2020,New York,36,324357,24788
5/5/2020,New York,36,326659,25028
5/6/2020,New York,36,329405,25956
5/7/2020,New York,36,332931,26206
5/8/2020,New York,36,335804,26358
5/9/2020,New York,36,338519,26584
5/10/2020,New York,36,340657,26798
5/11/2020,New York,36,342267,27003
5/12/2020,New York,36,343705,27282
5/13/2020,New York,36,345828,27448
5/14/2020,New York,36,348192,27617
5/15/2020,New York,36,350951,27755
5/16/2020,New York,36,353136,27953
5/17/2020,New York,36,355037,28168
5/18/2020,New York,36,356278,28302
5/19/2020,New York,36,357757,28437
5/20/2020,New York,36,359235,28540
5/21/2020,New York,36,361313,28663
5/22/2020,New York,36,362991,28802
5/23/2020,New York,36,364745,28900
5/24/2020,New York,36,366346,29046
5/25/2020,New York,36,367625,29138
5/26/2020,New York,36,368669,29241
5/27/2020,New York,36,369801,29339
5/28/2020,New York,36,371559,29438
5/29/2020,New York,36,373108,29535
5/30/2020,New York,36,374471,29612
5/31/2020,New York,36,375575,29699
6/1/2020,New York,36,376520,29766
6/2/2020,New York,36,377881,29847
6/3/2020,New York,36,378924,29918
6/4/2020,New York,36,379977,30011
6/5/2020,New York,36,381019,30066
6/6/2020,New York,36,382102,30123
6/7/2020,New York,36,382879,30183
6/8/2020,New York,36,383591,30239
6/9/2020,New York,36,384281,30309
6/10/2020,New York,36,384945,30376
6/11/2020,New York,36,385669,30431
6/12/2020,New York,36,386490,30511
6/13/2020,New York,36,387402,30565
6/14/2020,New York,36,388096,30605
6/15/2020,New York,36,388719,30645
6/16/2020,New York,36,389349,30683
6/17/2020,New York,36,389910,30722
6/18/2020,New York,36,390536,30767
6/19/2020,New York,36,391330,30816
6/20/2020,New York,36,392037,30839
6/21/2020,New York,36,392702,30884
6/22/2020,New York,36,393257,30934
6/23/2020,New York,36,393855,30970
6/24/2020,New York,36,394430,31001
6/25/2020,New York,36,395168,31029
6/26/2020,New York,36,395972,31075
6/27/2020,New York,36,396669,31105
6/28/2020,New York,36,397293,31137
6/29/2020,New York,36,397684,31143
6/30/2020,New York,36,398142,31776
7/1/2020,New York,36,398770,31791
7/2/2020,New York,36,399642,31814
7/3/2020,New York,36,400561,31836
7/4/2020,New York,36,401286,31860
7/5/2020,New York,36,401822,31895
7/6/2020,New York,36,402338,31911
7/7/2020,New York,36,402928,31934
7/8/2020,New York,36,403619,31945
7/9/2020,New York,36,404207,31979
7/10/2020,New York,36,404997,32004
7/11/2020,New York,36,405724,32019
7/12/2020,New York,36,406403,32029
7/13/2020,New York,36,406962,32075
7/14/2020,New York,36,407875,32092
7/15/2020,New York,36,408709,32115
7/16/2020,New York,36,409476,32133
7/17/2020,New York,36,410254,32147
7/18/2020,New York,36,411006,32167
7/19/2020,New York,36,411515,32187
7/20/2020,New York,36,412034,32203
7/21/2020,New York,36,412889,32218
7/22/2020,New York,36,413595,32228
7/23/2020,New York,36,414405,32270
7/24/2020,New York,36,415163,32278
7/25/2020,New York,36,415911,32295
7/26/2020,New York,36,416443,32305
7/27/2020,New York,36,417056,32322
7/28/2020,New York,36,417591,32333
7/29/2020,New York,36,418302,32342
7/30/2020,New York,36,419081,32362
7/31/2020,New York,36,419723,32372
8/1/2020,New York,36,420477,32390
8/2/2020,New York,36,421008,32401
8/3/2020,New York,36,421550,32413
8/4/2020,New York,36,422296,32422
8/5/2020,New York,36,422935,32431
8/6/2020,New York,36,423629,32329
8/7/2020,New York,36,424349,32336
8/8/2020,New York,36,425055,32345
8/9/2020,New York,36,425568,32354
8/10/2020,New York,36,426046,32361
8/11/2020,New York,36,426713,32372
8/12/2020,New York,36,427419,32384
8/13/2020,New York,36,428155,32399
8/14/2020,New York,36,428879,32407
8/15/2020,New York,36,429617,32414
8/16/2020,New York,36,430226,32424
8/17/2020,New York,36,430636,32435
8/18/2020,New York,36,431298,32446
8/19/2020,New York,36,431924,32451
