"","rdate","wkdeaths"
"1","2020-01-22",0
"2","2020-01-29",0
"3","2020-02-05",0
"4","2020-02-12",0
"5","2020-02-19",0
"6","2020-02-26",0
"7","2020-03-04",0
"8","2020-03-11",0
"9","2020-03-18",1
"10","2020-03-25",19
"11","2020-04-01",85
"12","2020-04-08",335
"13","2020-04-15",868
"14","2020-04-22",1542
"15","2020-04-29",2168
"16","2020-05-06",2718
"17","2020-05-13",3125
"18","2020-05-20",3528
"19","2020-05-27",3801
"20","2020-06-03",3989
"21","2020-06-10",4120
"22","2020-06-17",4219
"23","2020-06-24",4287
"24","2020-07-01",4324
