"","rdate","wkdeaths"
"1","2020-01-22",0
"2","2020-01-29",0
"3","2020-02-05",0
"4","2020-02-12",0
"5","2020-02-19",0
"6","2020-02-26",0
"7","2020-03-04",0
"8","2020-03-11",0
"9","2020-03-18",1
"10","2020-03-25",6
"11","2020-04-01",42
"12","2020-04-08",180
"13","2020-04-15",360
"14","2020-04-22",538
"15","2020-04-29",703
"16","2020-05-06",872
"17","2020-05-13",1045
"18","2020-05-20",1173
"19","2020-05-27",1289
"20","2020-06-03",1418
"21","2020-06-10",1545
"22","2020-06-17",1672
"23","2020-06-24",1808
"24","2020-07-01",1922
