"","rdate","wkdeaths"
"1","2020-01-22",0
"2","2020-01-29",0
"3","2020-02-05",0
"4","2020-02-12",0
"5","2020-02-19",0
"6","2020-02-26",0
"7","2020-03-04",0
"8","2020-03-11",0
"9","2020-03-18",0
"10","2020-03-25",1
"11","2020-04-01",7
"12","2020-04-08",13
"13","2020-04-15",20
"14","2020-04-22",34
"15","2020-04-29",45
"16","2020-05-06",58
"17","2020-05-13",75
"18","2020-05-20",90
"19","2020-05-27",105
"20","2020-06-03",117
"21","2020-06-10",128
"22","2020-06-17",149
"23","2020-06-24",163
"24","2020-07-01",173
