"","rdate","wkdeaths"
"1","2020-01-22",0
"2","2020-01-29",0
"3","2020-02-05",0
"4","2020-02-12",0
"5","2020-02-19",0
"6","2020-02-26",0
"7","2020-03-04",10
"8","2020-03-11",28
"9","2020-03-18",62
"10","2020-03-25",117
"11","2020-04-01",212
"12","2020-04-08",320
"13","2020-04-15",422
"14","2020-04-22",518
"15","2020-04-29",597
"16","2020-05-06",640
"17","2020-05-13",701
"18","2020-05-20",737
"19","2020-05-27",781
"20","2020-06-03",807
"21","2020-06-10",827
"22","2020-06-17",841
"23","2020-06-24",867
"24","2020-07-01",889
